design,price_ratio,price_drop
phase-in 0y,0.02,0.98
phase-in 5y,0.074,0.926
phase-in 10y,0.137,0.863
phase-in 20y,0.245,0.755
phase-in 30y,0.336,0.664
increment-only (grandfather r0),0.596,0.404
"5y-lag effective rate, steady 2% growth",0.924,
"5y-lag effective rate, after a -20% rent step",1.225,
