rule,variant,surv_emp_wmean,surv_share_ge50,dead_emp_wmean
d30,dv_rating_alpha,0.1329626331013532,0.04313513934968319,0.234247403726507
d30,dv_rating_beta,0.33752688598185854,0.19214234751896442,0.40972709175965116
d30,dv_rating_gamma,0.542091138862364,0.5456189520727134,0.5852067797927952
d30,human_rating_alpha,0.1462337052092074,0.0003916703305762133,0.18324829473051224
d30,human_rating_beta,0.30401658730946457,0.19629643049629292,0.34727924618272993
d30,human_rating_gamma,0.4617994694097217,0.44934272465212194,0.5113101976349474
d40,dv_rating_alpha,0.1499216321687944,0.04696003461753349,0.18798852497291588
d40,dv_rating_beta,0.3540574975206897,0.24779300578309732,0.3120249341851832
d40,dv_rating_gamma,0.5581933628725853,0.558280249213774,0.43606134339745034
d40,human_rating_alpha,0.15684466474864286,0.00033836439212367594,0.10202733044419686
d40,human_rating_beta,0.3182426332480649,0.2296665486202658,0.22576731871726297
d40,human_rating_gamma,0.47964060174748696,0.4822631665408858,0.34950730699032917
d50,dv_rating_alpha,0.1518645217390405,0.049994025000221244,0.16580074788376795
d50,dv_rating_beta,0.35423162581428397,0.25054252598325577,0.27438841511481105
d50,dv_rating_gamma,0.5565987298895274,0.555154820437411,0.3829760823458541
d50,human_rating_alpha,0.15537256258587778,0.00032845655735528755,0.09846342521094302
d50,human_rating_beta,0.31610302786069355,0.223533003380885,0.2105452080864598
d50,human_rating_gamma,0.4768334931355093,0.4789919521634609,0.32262699096197656
