rule,routine_terc,n,spearman,cov_early,cov_late
d30,low,29,-0.0802012456708005,0.11289049006379827,0.08475933256002971
d30,mid,47,0.05401594664220847,0.2024436521216829,0.2946111118638915
d30,high,56,-0.34696196728490986,0.2047613555222582,0.09742583378925145
d40,low,19,0.01766828574476791,0.15054772455710402,0.05383761559342723
d40,mid,40,0.03399936177897506,0.22362754395556694,0.2946111118638915
d40,high,43,-0.19093088255309132,0.18561912133605507,0.049597658317356616
d50,low,13,0.022381322075486397,0.15515440266478098,0.05165257304906845
d50,mid,35,-0.025786234071771726,0.21871320103773773,0.2403068708714822
d50,high,29,-0.24699612672488655,0.18931291686950805,0.1390992725888888
