rule,era,mass_flipped,n_flipped,rho_p25,rho_p50,rho_p75,rho_iqr_log
d30,2005,0.14846503431845232,79,1.3798098116497126,1.6696498566211944,2.264931945244765,0.49559904020779455
d30,2015,0.2715414401292476,120,1.6696498566211944,2.6306418358620665,5.3479152562114525,1.1640928754783442
d30,2025,0.32982552182453556,132,2.0389622956059172,4.064051259863106,5.455872582976724,0.9842515668977656
d40,2005,0.08258067519609774,55,1.6696498566211944,2.0389622956059172,2.264931945244765,0.3049307744824137
d40,2015,0.139160365000222,94,1.6696498566211944,2.264931945244765,4.495055757794119,0.9903641344986014
d40,2025,0.15049418312686513,102,2.0389622956059172,2.264931945244765,4.759220922201399,0.8476429832304959
d50,2005,0.06103619612834924,41,1.6696498566211944,2.264931945244765,2.264931945244765,0.3049307744824137
d50,2015,0.10213230029540206,72,2.0389622956059172,2.264931945244765,4.495055757794119,0.7905370724395233
d50,2025,0.1063211213984807,77,2.0389622956059172,2.264931945244765,4.495055757794119,0.7905370724395233
