occ1990dd,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,n_soc_sources
4,0.1333333333333333,0.5077777777777778,0.8822222222222222,0.11777777777777775,0.36944444444444435,0.6211111111111112,1
7,0.0,0.4850552306692657,0.9701104613385315,0.1221201151025712,0.4541306971131532,0.7861412791237351,1
8,0.08749601275917063,0.497719298245614,0.9079425837320575,0.12322169059011161,0.4625996810207336,0.8019776714513557,3
13,0.0966540404040404,0.5216922128259337,0.946730385247827,0.2851545983086681,0.5784747915198497,0.8717949847310312,6
14,0.03502402069475236,0.44198540280857346,0.8489467849223947,0.298480229120473,0.4819267368810052,0.6653732446415374,3
15,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,1
18,0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,1
19,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1
22,0.09120373773732494,0.4610223260592253,0.8308409143811256,0.18324475542472685,0.4179525709038357,0.6526603863829447,18
23,0.1567741935483871,0.5703225806451613,0.9838709677419355,0.3258064516129032,0.5987096774193548,0.8716129032258064,2
24,0.1428571428571428,0.5714285714285714,1.0,0.1428571428571428,0.5,0.8571428571428571,1
25,0.1413695354046231,0.5549519332852666,0.9685343311659101,0.29140715000364126,0.6120328143135161,0.932658478623391,9
26,0.0952380952380952,0.4047619047619047,0.7142857142857142,0.1904761904761904,0.5,0.8095238095238095,1
27,0.1374710360807679,0.4721574376192052,0.8068438391576425,0.24556548604214937,0.41961491779763876,0.5936643495531281,5
28,0.0555555555555555,0.5277777777777778,1.0,0.0555555555555555,0.25,0.4444444444444444,1
29,0.0333333333333333,0.4666666666666667,0.9,0.1,0.4,0.7,1
33,0.14060150375939845,0.5296992481203007,0.918796992481203,0.1360902255639097,0.41992481203007515,0.7037593984962406,2
34,0.1739130434782608,0.5434782608695652,0.9130434782608696,0.3043478260869565,0.3695652173913043,0.4347826086956521,1
35,0.0,0.33410428931875524,0.6682085786375105,0.07317073170731705,0.28238015138772077,0.4915895710681245,1
36,0.09830070319412397,0.4287680916436809,0.7592354800932378,0.22679311088411314,0.44409811868256227,0.6614031264810113,3
37,0.10805076555798754,0.5183543294167859,0.9286578932755845,0.23870608249882028,0.5126633112015421,0.786620539904264,3
43,0.03488372093023255,0.45471236230110157,0.8745410036719705,0.10771113831089349,0.39932680538555687,0.6909424724602202,2
44,0.2142857142857142,0.5714285714285714,0.9285714285714284,0.1428571428571428,0.5178571428571428,0.8928571428571428,1
45,0.1463414634146341,0.4878048780487805,0.8292682926829269,0.1463414634146341,0.3170731707317073,0.4878048780487805,1
47,0.1666666666666666,0.5277777777777778,0.8888888888888888,0.0833333333333333,0.4305555555555555,0.7777777777777777,1
48,0.0769230769230769,0.4615384615384615,0.8461538461538463,0.0769230769230769,0.3461538461538461,0.6153846153846154,1
53,0.0556277056277056,0.48214285714285715,0.9086580086580086,0.17186147186147183,0.45454545454545453,0.7372294372294372,1
55,0.3960163610898905,0.6366235888294712,0.8772308165690519,0.18738593922417449,0.39075364994482636,0.5941213606654784,3
56,0.14112886553536047,0.5292929028791291,0.9174569402228977,0.38171824815721794,0.5438682836387203,0.7060183191202227,2
57,0.20618331053351568,0.5312935096519228,0.8564037087703298,0.30672138622891015,0.5007630338957288,0.6948046815625476,1
59,0.16577869433613973,0.5222503492264403,0.878722004116741,0.24163373743524574,0.47203590178096755,0.7024380661266894,4
64,0.5193182526477299,0.7290924617726118,0.9388666708974936,0.24901810754050682,0.5700443924211267,0.8910706773017465,14
65,0.17204430504875773,0.5784463949486213,0.9848484848484849,0.30432039263765565,0.6127993585468678,0.92127832445608,2
66,0.0,0.5,1.0,0.2222222222222222,0.537037037037037,0.8518518518518519,1
68,0.5781565656565656,0.7807449494949494,0.9833333333333334,0.3103535353535353,0.6157512626262627,0.92114898989899,2
69,0.3039772727272727,0.59375,0.8835227272727273,0.375,0.5291193181818181,0.6832386363636364,2
73,0.10896551724137929,0.43137931034482757,0.7537931034482759,0.3641379310344828,0.45862068965517244,0.5531034482758621,2
74,0.1739130434782608,0.5652173913043478,0.9565217391304348,0.3478260869565217,0.6086956521739131,0.8695652173913043,1
75,0.09949259429500333,0.49612765396013475,0.8927627136252663,0.3484358501075356,0.5731105641570949,0.7977852782066543,3
76,0.0,0.4565217391304347,0.9130434782608696,0.1521739130434782,0.4456521739130434,0.7391304347826086,1
77,0.041666666666666664,0.45551142697881825,0.86935618729097,0.4718506131549609,0.6580615942028986,0.8442725752508361,3
78,0.1418686918638955,0.46299294223954723,0.784117192615199,0.19691158253122315,0.4350963394304248,0.6732810963296265,4
79,0.0303030303030303,0.4035439705646826,0.7767849108263349,0.19126946303481213,0.4236438208996341,0.6560181787644561,2
83,0.0909090909090909,0.4825174825174825,0.8741258741258742,0.35489510489510484,0.5629370629370629,0.770979020979021,2
84,0.036597014542262565,0.4138281016876433,0.7910591888330241,0.15710927466969965,0.3406483890113945,0.5241875033530893,16
85,0.0125,0.15886363636363635,0.30522727272727274,0.0375,0.14897727272727274,0.26045454545454544,4
86,0.081081081081081,0.2702702702702703,0.4594594594594595,0.027027027027027,0.2297297297297297,0.4324324324324324,1
87,0.0,0.3,0.6000000000000001,0.0,0.05,0.1,1
88,0.0,0.2857142857142857,0.5714285714285714,0.1904761904761904,0.2857142857142857,0.3809523809523809,1
89,0.1815996503496503,0.37253545066045063,0.5634712509712511,0.13420260295260292,0.31314750064750063,0.4920923983423983,3
95,0.03550829271683128,0.3427793850618152,0.6500504774067992,0.07748151623356875,0.2582660011641949,0.43905048609482106,3
96,0.1142857142857142,0.4285714285714285,0.7428571428571429,0.2857142857142857,0.3999999999999999,0.5142857142857142,1
97,0.1463414634146341,0.5487804878048781,0.951219512195122,0.2682926829268293,0.4634146341463415,0.6585365853658537,1
98,0.0952380952380952,0.2023809523809523,0.3095238095238095,0.0952380952380952,0.1904761904761904,0.2857142857142857,1
99,0.1106060606060606,0.2890151515151515,0.4674242424242424,0.1606060606060606,0.34071969696969695,0.5208333333333334,1
103,0.0851063829787234,0.1914893617021276,0.2978723404255319,0.1276595744680851,0.3404255319148936,0.5531914893617021,1
104,0.1535476718403547,0.45288248337028825,0.7522172949002217,0.16241685144124168,0.4223946784922395,0.6823725055432373,2
105,0.0758776137084388,0.32142415331309987,0.5669706929177609,0.08039528654474164,0.3146475130128477,0.5488997394809538,3
106,0.0,0.2708333333333333,0.5416666666666666,0.0,0.1101190476190476,0.2202380952380952,1
155,0.057700290577002905,0.2300747198007472,0.40244914902449147,0.14425072644250725,0.302563304275633,0.46087588210875885,2
156,0.10668873642225674,0.32707251430954093,0.5474562921968251,0.16644133614680598,0.33003339945836435,0.4936254627699228,3
157,0.09163059163059159,0.3333333333333333,0.575036075036075,0.13997113997113994,0.3373015873015873,0.5346320346320346,2
158,0.13246198246198243,0.30802392052392047,0.48358585858585856,0.1647463647463647,0.30953490953490953,0.4543234543234543,6
159,0.13565627030539307,0.46431936322287193,0.792982456140351,0.3028427550357375,0.520679012345679,0.7385152696556205,3
163,0.07170840869832176,0.24206509315667413,0.4124217776150264,0.19685771460064871,0.32473517760245013,0.4526126406042515,5
164,0.1578947368421052,0.5350877192982456,0.912280701754386,0.2631578947368421,0.5,0.7368421052631579,1
165,0.09256760133953114,0.4122807017543859,0.7319938021692408,0.19843054930774226,0.4184535412605588,0.6384765332133753,3
166,0.07722174288179462,0.5386108714408973,1.0,0.28328189641822077,0.5799422302603925,0.8766025641025641,2
167,0.06124338624338618,0.4263790576290576,0.791514729014729,0.30786679536679534,0.4902438152438152,0.6726208351208351,4
169,0.09166877699461155,0.4831523727120527,0.8746359684294939,0.26286385570984394,0.519339748730286,0.775815641750728,5
173,0.0,0.4772727272727273,0.9545454545454546,0.2727272727272727,0.5795454545454546,0.8863636363636364,1
174,0.029464285714285703,0.28581349206349205,0.5421626984126984,0.17519841269841266,0.3586805555555555,0.5421626984126984,3
176,0.17099567099567095,0.38636363636363635,0.6017316017316017,0.2467532467532467,0.3463203463203463,0.4458874458874459,2
177,0.17839457514754622,0.4098241234807448,0.6412536718139434,0.2777575659579055,0.41739766081871343,0.5570377556795213,4
178,0.0689655172413793,0.4711206896551724,0.8732758620689656,0.075,0.46163793103448275,0.8482758620689655,2
183,0.8098290598290598,0.8771367521367521,0.9444444444444444,0.641025641025641,0.7742165242165242,0.9074074074074074,1
184,0.4666666666666667,0.7,0.9333333333333332,0.3333333333333333,0.6333333333333333,0.9333333333333332,1
185,0.009523809523809514,0.39318923399798356,0.7768546584721576,0.09737592005391031,0.35074733663531593,0.6041187532167216,7
186,0.3856068743286788,0.5593447905477981,0.7330827067669172,0.1387397064088793,0.2066774078052273,0.2746151092015753,2
187,0.1250426213857065,0.3285426895799236,0.5320427577741408,0.1713379705400982,0.2966192716857611,0.4219005728314239,2
188,0.029741379310344825,0.4271551724137931,0.8245689655172415,0.05948275862068965,0.3606681034482758,0.6618534482758621,4
189,0.0416666666666666,0.3854166666666666,0.7291666666666666,0.0208333333333333,0.21875,0.4166666666666666,1
193,0.02857142857142855,0.14613095238095236,0.26369047619047614,0.0714285714285714,0.106547619047619,0.14166666666666666,2
194,0.6505263157894736,0.7031578947368421,0.7557894736842106,0.4789473684210526,0.6042105263157894,0.7294736842105263,2
195,0.20616458704693996,0.5622697563874035,0.9183749257278668,0.28298425430778373,0.48360814022578724,0.6842320261437909,4
198,0.4,0.65,0.9,0.475,0.5375,0.6000000000000001,1
199,0.1055555555555555,0.2041666666666667,0.30277777777777776,0.056481481481481466,0.10370370370370367,0.1509259259259259,3
203,0.07041564039408867,0.25429725985221674,0.4381788793103448,0.05584205665024629,0.12266574302134645,0.18948942939244662,2
204,0.0625,0.1875,0.3125,0.0,0.09375,0.1875,1
205,0.2738970588235294,0.6369485294117647,1.0,0.2738970588235294,0.5450367647058824,0.8161764705882353,2
206,0.05998760341714497,0.32990244428274984,0.5998172851483548,0.1291502950925701,0.24437814967526342,0.3596060042579567,5
207,0.0789473684210526,0.25,0.4210526315789473,0.0526315789473684,0.25,0.4473684210526315,1
208,0.104949002147278,0.28324171438395573,0.46153442662063354,0.04212962962962963,0.20258243512553856,0.3630352406214475,6
214,0.15219132097547547,0.3981454750743058,0.6440996291731361,0.12222675215274721,0.3220169422478587,0.5218071323429703,9
217,0.12681829298116895,0.5381560283687943,0.9494937637564197,0.16809488872584985,0.49162631450232325,0.8151577402787967,3
218,0.09147064617809299,0.5100231481481482,0.9285756501182033,0.11559988179669028,0.46347665484633566,0.811353427895981,3
223,0.20946368446368444,0.3945105820105819,0.5795574795574795,0.11433381433381429,0.29523809523809524,0.47614237614237614,3
