observation_date,BOGZ1LM105012665Q
1945-10-01,2193
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,2634
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,3004
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,3135
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,3212
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,3480
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,3662
1952-01-01,3683
1952-04-01,3717
1952-07-01,3755
1952-10-01,3736
1953-01-01,3740
1953-04-01,3747
1953-07-01,3781
1953-10-01,3767
1954-01-01,3758
1954-04-01,3782
1954-07-01,3842
1954-10-01,3857
1955-01-01,3897
1955-04-01,3952
1955-07-01,4001
1955-10-01,4025
1956-01-01,4057
1956-04-01,4120
1956-07-01,4124
1956-10-01,4105
1957-01-01,4104
1957-04-01,4126
1957-07-01,4164
1957-10-01,4156
1958-01-01,4152
1958-04-01,4169
1958-07-01,4190
1958-10-01,4239
1959-01-01,4313
1959-04-01,4413
1959-07-01,4514
1959-10-01,4610
1960-01-01,4751
1960-04-01,4881
1960-07-01,4994
1960-10-01,5120
1961-01-01,5219
1961-04-01,5365
1961-07-01,5509
1961-10-01,5665
1962-01-01,5818
1962-04-01,5978
1962-07-01,6144
1962-10-01,6307
1963-01-01,6421
1963-04-01,6525
1963-07-01,6585
1963-10-01,6779
1964-01-01,6901
1964-04-01,7193
1964-07-01,7387
1964-10-01,7713
1965-01-01,7829
1965-04-01,7953
1965-07-01,8059
1965-10-01,8398
1966-01-01,8515
1966-04-01,9048
1966-07-01,9200
1966-10-01,9591
1967-01-01,9772
1967-04-01,9982
1967-07-01,10210
1967-10-01,10544
1968-01-01,10830
1968-04-01,10984
1968-07-01,11030
1968-10-01,11528
1969-01-01,11782
1969-04-01,11981
1969-07-01,12064
1969-10-01,12275
1970-01-01,12370
1970-04-01,12941
1970-07-01,12692
1970-10-01,12915
1971-01-01,13379
1971-04-01,13787
1971-07-01,14183
1971-10-01,14557
1972-01-01,14981
1972-04-01,15273
1972-07-01,15756
1972-10-01,16477
1973-01-01,16921
1973-04-01,17565
1973-07-01,18373
1973-10-01,18882
1974-01-01,19470
1974-04-01,20071
1974-07-01,20833
1974-10-01,21466
1975-01-01,22013
1975-04-01,22382
1975-07-01,22566
1975-10-01,22957
1976-01-01,23096
1976-04-01,23785
1976-07-01,24175
1976-10-01,24643
1977-01-01,25394
1977-04-01,26244
1977-07-01,27279
1977-10-01,28289
1978-01-01,29061
1978-04-01,29905
1978-07-01,30695
1978-10-01,31517
1979-01-01,32275
1979-04-01,33531
1979-07-01,34761
1979-10-01,35753
1980-01-01,36857
1980-04-01,37823
1980-07-01,38793
1980-10-01,39828
1981-01-01,40856
1981-04-01,41576
1981-07-01,42138
1981-10-01,42865
1982-01-01,43649
1982-04-01,44466
1982-07-01,44973
1982-10-01,45351
1983-01-01,45684
1983-04-01,45923
1983-07-01,46327
1983-10-01,46880
1984-01-01,47262
1984-04-01,47757
1984-07-01,48320
1984-10-01,48884
1985-01-01,49376
1985-04-01,49769
1985-07-01,50432
1985-10-01,51357
1986-01-01,52306
1986-04-01,53166
1986-07-01,54188
1986-10-01,55104
1987-01-01,55737
1987-04-01,56206
1987-07-01,56702
1987-10-01,57227
1988-01-01,57639
1988-04-01,58144
1988-07-01,58546
1988-10-01,59102
1989-01-01,59290
1989-04-01,59817
1989-07-01,59802
1989-10-01,60015
1990-01-01,60491
1990-04-01,60731
1990-07-01,60950
1990-10-01,61008
1991-01-01,61317
1991-04-01,61755
1991-07-01,62245
1991-10-01,62140
1992-01-01,62070
1992-04-01,62851
1992-07-01,63443
1992-10-01,64438
1993-01-01,64957
1993-04-01,65468
1993-07-01,65867
1993-10-01,65937
1994-01-01,66746
1994-04-01,67135
1994-07-01,67820
1994-10-01,68730
1995-01-01,69686
1995-04-01,70207
1995-07-01,70688
1995-10-01,71255
1996-01-01,71970
1996-04-01,72721
1996-07-01,73887
1996-10-01,74706
1997-01-01,75820
1997-04-01,77060
1997-07-01,78579
1997-10-01,80001
1998-01-01,81134
1998-04-01,82593
1998-07-01,84304
1998-10-01,86000
1999-01-01,87294
1999-04-01,88772
1999-07-01,90070
1999-10-01,91381
2000-01-01,93446
2000-04-01,94915
2000-07-01,96248
2000-10-01,97615
2001-01-01,99367
2001-04-01,101082
2001-07-01,103124
2001-10-01,104097
2002-01-01,105003
2002-04-01,106723
2002-07-01,108296
2002-10-01,111228
2003-01-01,114115
2003-04-01,114818
2003-07-01,116213
2003-10-01,118920
2004-01-01,122248
2004-04-01,125448
2004-07-01,128755
2004-10-01,131534
2005-01-01,134760
2005-04-01,138493
2005-07-01,143732
2005-10-01,147990
2006-01-01,151955
2006-04-01,154846
2006-07-01,156780
2006-10-01,159261
2007-01-01,161429
