observation_date,BOGZ1LM105013665A
1945-01-01,93375
1946-01-01,112981
1947-01-01,134502
1948-01-01,142195
1949-01-01,144449
1950-01-01,160311
1951-01-01,172725
1952-01-01,183054
1953-01-01,189214
1954-01-01,194082
1955-01-01,212996
1956-01-01,232864
1957-01-01,246745
1958-01-01,249416
1959-01-01,257186
1960-01-01,258961
1961-01-01,264622
1962-01-01,270338
1963-01-01,275852
1964-01-01,288571
1965-01-01,305652
1966-01-01,326065
1967-01-01,349185
1968-01-01,381064
1969-01-01,417912
1970-01-01,460106
1971-01-01,510543
1972-01-01,554336
1973-01-01,630818
1974-01-01,772839
1975-01-01,838993
1976-01-01,916470
1977-01-01,1007808
1978-01-01,1139928
1979-01-01,1307845
1980-01-01,1485301
1981-01-01,1696621
1982-01-01,1795109
1983-01-01,1825816
1984-01-01,1925734
1985-01-01,2006592
1986-01-01,2056722
1987-01-01,2153536
1988-01-01,2287757
1989-01-01,2411623
1990-01-01,2532213
1991-01-01,2566863
1992-01-01,2649765
1993-01-01,2782629
1994-01-01,2926457
1995-01-01,3075163
1996-01-01,3220434
1997-01-01,3412419
1998-01-01,3594080
1999-01-01,3767397
2000-01-01,4026774
2001-01-01,4299044
2002-01-01,4518513
2003-01-01,4708788
2004-01-01,5238360
2005-01-01,5876898
2006-01-01,6425804
2007-01-01,6799611
2008-01-01,7331682
2009-01-01,6992055
2010-01-01,7229158
2011-01-01,7613654
2012-01-01,7855819
2013-01-01,8199043
2014-01-01,8652798
2015-01-01,8746637
2016-01-01,8931640
2017-01-01,9210166
2018-01-01,9620059
2019-01-01,9945923
2020-01-01,10039199
