degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
Doctorate,Science and mathematics teacher education,False,14000,13000.0,,,0.9285714285714286,,
Doctorate,Technology and technical fields,False,9000,8000.0,1000.0,,0.8888888888888888,0.1111111111111111,
Doctorate,Other S&E-related fields,False,7000,4000.0,,,0.5714285714285714,,
Doctorate,Non-S&E fields,False,712000,515000.0,130000.0,67000.0,0.723314606741573,0.18258426966292135,0.09410112359550561
Doctorate,Management and administration fields,False,69000,59000.0,7000.0,3000.0,0.855072463768116,0.10144927536231885,0.043478260869565216
Doctorate,"Education, except science and math teacher education",False,271000,176000.0,73000.0,21000.0,0.6494464944649446,0.2693726937269373,0.07749077490774908
Doctorate,Social service and related fields,False,93000,70000.0,13000.0,10000.0,0.7526881720430108,0.13978494623655913,0.10752688172043011
Doctorate,Sales and marketing fields,False,7000,,,,,,
Doctorate,Art and humanities fields,False,190000,140000.0,28000.0,22000.0,0.7368421052631579,0.14736842105263157,0.11578947368421053
Doctorate,Other non-S&E fields,False,82000,65000.0,6000.0,,0.7926829268292683,0.07317073170731707,
Professional,Professional,True,3543000,3098000.0,261000.0,184000.0,0.8744002257973469,0.07366638441998306,0.05193338978267005
Professional,S&E fields,False,62000,56000.0,2000.0,,0.9032258064516129,0.03225806451612903,
Professional,S&E-related fields,False,1816000,1714000.0,47000.0,55000.0,0.9438325991189427,0.025881057268722467,0.0302863436123348
Professional,Non-S&E fields,False,1665000,1329000.0,212000.0,124000.0,0.7981981981981981,0.12732732732732732,0.07447447447447447
