year,legal_form_tier,proprietor_effort_tier,employee_comp_share_resources,proprietors_share_resources,rental_share_resources,interest_share_resources,dividends_share_resources,transfers_share_resources,proprietor_effort_share_low,transfer_wage_exposure_low,labor_origin_current_resource_share_low,proprietor_effort_share_mid,transfer_wage_exposure_mid,labor_origin_current_resource_share_mid,proprietor_effort_share_high,transfer_wage_exposure_high,labor_origin_current_resource_share_high,ownership_origin_current_resource_share_mid,fiscal_nonlabor_or_unresolved_current_resource_share_mid
1950,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6556468062521762,0.14175281915802393,0.0792201292323759,0.0514235516939435,0.03552885302686747,0.03642784063661295,0.6789844405230424,0.6709338471568955,0.7763354361226921,0.7515414106963423,0.7919452711056496,0.7910287760611369,0.8137765815935232,0.9150797024921031,0.8043363084300192,0.201392239431006,0.007578984507857108
1951,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6596970412416505,0.139308566516989,0.07462881040736564,0.053219148210937546,0.03527876566635694,0.037867667956700296,0.6747071807656335,0.6709338471568955,0.7790962315578788,0.7473624207165,0.7919452711056496,0.7938001493064407,0.8099294341400493,0.9150797024921031,0.8071790840195039,0.19832130330296666,0.00787854739059256
1952,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6634565366124591,0.13684520057870342,0.07027807230567507,0.055052944782664,0.03501484616078349,0.03935239955971485,0.6704005952232179,0.6709338471568955,0.7816004973653173,0.7431371650693392,0.7919452711056496,0.796316237761838,0.806021754189739,0.9150797024921031,0.8097673273168066,0.1954963094164232,0.008187452821738626
1953,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6669286269802117,0.13436666510545647,0.06615842627215444,0.056925212473346344,0.03473792939744116,0.04088313977138998,0.6660652131113857,0.6709338471568955,0.7838554706594155,0.7388659349178118,0.7919452711056496,0.7985847878250469,0.8020533705422194,0.9150797024921031,0.8121091949955073,0.1929092816134668,0.008505930561486377
1954,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6701168579191243,0.13187672658071464,0.062260351682173476,0.05883621808952707,0.0344488304913417,0.04246101523711867,0.6617015818306508,0.6709338471568955,0.785868428811459,0.7345490508115478,0.7919452711056496,0.8006135824765034,0.7980241457393428,0.9150797024921031,0.8142128831822952,0.19055220250975893,0.008834215013737606
1955,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.673024934514939,0.12937896942581195,0.05857435984146656,0.06078622088616076,0.03414834233553244,0.044087172996089115,0.6573102668097893,0.6709338471568955,0.7876466360163328,0.7301868630403744,0.7919452711056496,0.8024103865140387,0.7939339772588216,0.9150797024921031,0.8160865714338006,0.18841706866054156,0.009172544825419647
1956,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6756566758717567,0.12687679336921867,0.055091049599034055,0.06277546914949145,0.03383723368643272,0.045762778324066444,0.6528918513266224,0.6709338471568955,0.7891972973025253,0.725779751956219,0.7919452711056496,0.8039828993786692,0.789782798694393,0.9150797024921031,0.8177383744022672,0.1864959381836649,0.009521162437665898
1957,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6780159754132957,0.12437341271412117,0.05180115510272661,0.06480419668452665,0.033516247732921785,0.047489012352407996,0.6484469363060844,0.6709338471568955,0.7905275196009822,0.7213281282617834,0.7919452711056496,0.8053387151738703,0.7855705809192528,0.9150797024921031,0.8191763007851233,0.18478097123568887,0.009880313590440703
1958,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6801067667407922,0.12187185725615257,0.04869558620347584,0.06687261923203033,0.033186101097387025,0.049267069470161885,0.6439761400955258,0.6709338471568955,0.791644279420644,0.7168324332645052,0.7919452711056496,0.8064852894123127,0.7812973332293222,0.9150797024921031,0.8204082190841423,0.18326446380565348,0.010250246782033658
1959,WEAK_COMPOSITION_BACKCAST,WEAK_LOGIT_BACKCAST,0.6819329947519402,0.11937497461383784,0.0457654620637483,0.06898093083731416,0.03284748321773814,0.05109815451542136,0.6394800982171859,0.6709338471568955,0.7925543966343205,0.7122931390942663,0.7919452711056496,0.8074299119796429,0.7769631044628854,0.9150797024921031,0.8214418296549532,0.18193887533564954,0.010631212684707616
1960,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6890090790587052,0.11568824753584743,0.03764950716948339,0.07122144212957669,0.0305669266128479,0.05586479749353947,0.6349594630978533,0.6709338471568955,0.7999480101037798,0.7077107488834469,0.7919452711056496,0.8151247575555968,0.7725679840929709,0.9150797024921031,0.8295068575108931,0.17325230714714726,0.011622935297256139
1961,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.680420234930001,0.11660795973881079,0.037701026476203416,0.07323205200988117,0.030469881921261845,0.06156884492384173,0.6304149037757641,0.6896692639157121,0.7963937706069982,0.7030857969078842,0.8037908894434826,0.8118941118521078,0.7681121032888416,0.919914648752442,0.826626302497409,0.17602551984739298,0.012080368300499134
1962,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6829726606990868,0.11355534265613501,0.037100693659206506,0.0761791589741903,0.030893944564828562,0.05929819944655289,0.6258471055848573,0.6893937822828875,0.7949207532231497,0.6984188486874474,0.8036167139595031,0.8099348765622473,0.7635956359428173,0.9198435567181653,0.824228091475203,0.17841994817415396,0.011645175263598833
1963,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6836228844559332,0.11002877627664244,0.036537092132858606,0.07894259376676582,0.03167536458079305,0.059193288787006776,0.6212567698165118,0.6872313034199338,0.792658487599231,0.6937105010449078,0.8022494692590553,0.8074387864892352,0.759018799658661,0.9192854976567568,0.8215523260938453,0.18085570923683225,0.011705504273932603
