year,pce_b,dpi_b
1950,192.044,220.07984457962408
1951,208.339,238.9042329779148
1952,219.32,251.65550195020893
1953,232.74,267.2239204301192
1954,239.608,275.2852320430388
1955,258.288,296.9370036813905
1956,271.128,311.89912343780577
1957,286.296,329.56111106121875
1958,295.606,340.49914405877007
1959,317.13,365.53033184245254
