"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_TOTAL","INS_SECTOR_TOTAL","2025",76930.611,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_TOTAL","INS_SECTOR_PUB","2025",12524.594,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_TOTAL","INS_SECTOR_PRI","2025",64406.017,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_AGR","INS_SECTOR_TOTAL","2025",731.499,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_AGR","INS_SECTOR_PUB","2025",11.896,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_AGR","INS_SECTOR_PRI","2025",719.603,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_NAG","INS_SECTOR_TOTAL","2025",76199.112,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_NAG","INS_SECTOR_PUB","2025",12512.698,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_NAG","INS_SECTOR_PRI","2025",63686.414,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_IND","INS_SECTOR_TOTAL","2025",6554.433,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_IND","INS_SECTOR_PUB","2025",149.147,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_IND","INS_SECTOR_PRI","2025",6405.286,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_SER","INS_SECTOR_TOTAL","2025",69644.679,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_SER","INS_SECTOR_PUB","2025",12363.551,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_F","ECO_SECTOR_SER","INS_SECTOR_PRI","2025",57281.128,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_TOTAL","INS_SECTOR_TOTAL","2025",163492.861,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_TOTAL","INS_SECTOR_PUB","2025",21940.614,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_TOTAL","INS_SECTOR_PRI","2025",141552.247,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_AGR","INS_SECTOR_TOTAL","2025",2488.606,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_AGR","INS_SECTOR_PUB","2025",48.874,"B",,"I11:264","R1:3513_R1:2803_T2:85"
