year,wbar_us,H_narrow_tot,Hrel_narrow_tot,wrel_narrow_tot,bridge_cover_narrow_tot,lampurged_narrow_tot,H_narrow_dom,Hrel_narrow_dom,wrel_narrow_dom,bridge_cover_narrow_dom,lampurged_narrow_dom,H_medium_tot,Hrel_medium_tot,wrel_medium_tot,bridge_cover_medium_tot,lampurged_medium_tot,H_medium_dom,Hrel_medium_dom,wrel_medium_dom,bridge_cover_medium_dom,lampurged_medium_dom,H_broad_tot,Hrel_broad_tot,wrel_broad_tot,bridge_cover_broad_tot,lampurged_broad_tot,H_broad_dom,Hrel_broad_dom,wrel_broad_dom,bridge_cover_broad_dom,lampurged_broad_dom,rho_machinery_direct,rho_aggregate
1997,19.42405881920904,0.02648639197095258,0.514473235552409,1.1305986354720574,1.0,0.5021576434766809,0.022328864130345998,0.4337171702339676,1.1448886001325795,1.0,0.4287630199809119,0.02652740232980086,0.5152698231748748,1.1641454472615858,1.0000000000000002,0.5196832350721182,0.02315134126209647,0.4496930144185431,1.180461115452763,0.9999999999999998,0.46014572618205457,0.025136624274864114,0.48825526843131833,1.1793431245167971,0.9999999999999998,0.4991962086928979,0.022040723183949167,0.42812030354293296,1.1972756760314784,1.0,0.4446235272441846,0.13870986317077763,0.12311521172523499
1998,20.498656029520998,0.02607726490536227,0.5345488834857206,1.1392407978948003,1.0000000000000002,0.5263972630628952,0.0218123162120278,0.4471231672375023,1.1540150532280298,0.9999999999999998,0.446043654985036,0.026209851659385722,0.537266733750518,1.1681355018652033,0.9999999999999998,0.5456077029173647,0.022787945427165692,0.4671222549309655,1.1840893578038665,0.9999999999999996,0.48121079635354014,0.02491931031234722,0.5108123705857012,1.1814489772754186,1.0000000000000002,0.5249704259441095,0.021767048639247007,0.4461952428337775,1.1988435948230314,1.0000000000000002,0.46567222479457787,0.14233088624219767,0.12107326835393906
1999,21.479710912143815,0.025471438803893312,0.5471191420239906,1.1596837144971133,1.0000000000000004,0.5544748762847541,0.021148759879081328,0.4542692483530125,1.1746446612570598,0.9999999999999999,0.4663624616691006,0.025239680060953833,0.5421410312242887,1.1867899040698402,1.0000000000000002,0.5639423149962252,0.021863847152924526,0.46962911627211745,1.20261855834568,1.0,0.49524847523009996,0.02386628819733902,0.512640971024752,1.1994315367157793,0.9999999999999998,0.5391620042449686,0.02077530220766769,0.4462474855331252,1.2166759308399193,1.0000000000000004,0.47630267825680944,0.1308953864047976,0.1176118552684784
2000,23.56047588973636,0.022782732606541036,0.5367720222787205,1.1605978939343007,0.9999999999999998,0.5429387558968244,0.01866519982307991,0.4397609904087856,1.1780428300542933,1.0000000000000002,0.4513460228078834,0.023179820941774107,0.5461276124270747,1.208097127889438,0.9999999999999996,0.5763234993690134,0.019876784297673162,0.4683064972108188,1.2297614217998978,1.0000000000000002,0.5030739633652163,0.02207349400934275,0.5200620234093598,1.2155112435949698,0.9999999999999998,0.5526147663597056,0.01902872076357554,0.44832571676274713,1.2377398001991187,1.0,0.48515619753210315,0.13351271453882838,0.11373095214366913
2001,24.416425713821035,0.0241499789254799,0.5896561664243235,1.132835776057714,0.9999999999999994,0.5825621755736218,0.02006137826626887,0.48982715215521766,1.1453281288406214,1.0000000000000004,0.48903985460993066,0.02379616157166277,0.5810172112885867,1.188416707089466,1.0,0.6045714059917461,0.02061427229073298,0.5033268480311611,1.2068860079875126,0.9999999999999999,0.5319348053382933,0.02245827757561599,0.5483508660854006,1.1985372440120947,0.9999999999999998,0.5758920646085318,0.019543529615585024,0.4771831390447931,1.2180006555664378,1.0000000000000002,0.5093908335737645,0.13874187140717406,0.11080890893936157
2002,25.05360513943656,0.022079924558758283,0.553181711403678,1.1265749361866062,0.9999999999999996,0.5452147334993585,0.018400608013735605,0.4610015675016839,1.1375599006338115,1.0000000000000004,0.458562077366296,0.021749014671695682,0.5448912257564761,1.1619839882577925,1.0,0.5561634582280904,0.01895186127945487,0.47481244915283927,1.175655967727362,0.9999999999999999,0.49039125125785205,0.020467464094436578,0.5127837636276095,1.1752347400720242,1.0,0.5297992057862613,0.017913787602355204,0.44880496114114127,1.1904224778638437,0.9999999999999999,0.4697816558495004,0.13366418672706218,0.10748293250799179
2003,26.19905676983616,0.01940281714842745,0.5083355079664014,1.1768574116972113,0.9999999999999998,0.5306050800134859,0.016288757521818197,0.42675008302421075,1.1915390825658527,1.0000000000000002,0.4509331524663717,0.019310962600585978,0.505929005452935,1.2053714648005547,1.0000000000000004,0.5421991671190067,0.01694200903295584,0.44386465644948714,1.2205914767471935,1.0,0.4817519164952475,0.018352689852795517,0.4808231633325858,1.2154859483063616,0.9999999999999999,0.5200403456470247,0.016175495950529264,0.4237827366881711,1.2316627011939172,0.9999999999999999,0.46454044345291773,0.11907347390911649,0.09749703854322433
2004,27.390820436323537,0.018389619626639514,0.503706769085574,1.1612787953591237,0.9999999999999996,0.5181774601147654,0.015093463624666877,0.4134223519054314,1.1806805758725842,1.0000000000000004,0.4319751076011924,0.018248949193621085,0.49985369051406636,1.1925064217333048,0.9999999999999998,0.5295907951366271,0.01575859285708551,0.4316407872775599,1.2118740096093665,1.0000000000000002,0.46456778045410113,0.017431006061961834,0.4774495570676637,1.2036345743183425,0.9999999999999998,0.5113287598880992,0.015138611543545271,0.4146589904445032,1.2240208945010078,1.0,0.45151407530647075,0.12424183427358788,0.08959347754716873
2005,28.332817562143706,0.017423393973364655,0.4936538427606949,1.1543021381203995,1.0000000000000002,0.5043548575087622,0.014236742913029978,0.4033670396340207,1.1732798906708843,0.9999999999999997,0.4186183691019085,0.01724370829032403,0.48856284108457565,1.1911035154928022,0.9999999999999998,0.516434699603632,0.014836664109695885,0.4203644974508188,1.211141785729711,0.9999999999999997,0.4517489604485471,0.016496019105161696,0.4673786998081834,1.202262611671891,1.0,0.49934590078512847,0.014279945990002589,0.40459110453200897,1.2233075112782719,1.0,0.43983126044199994,0.118331856697659,0.09296337515115738
2006,29.43025998705295,0.01667854562131955,0.49085393384135795,1.1422482837209704,1.0000000000000002,0.4943587049347516,0.013530965958519815,0.3982198460352013,1.1654100326728019,1.0000000000000002,0.4089010138677888,0.01670312899878286,0.49157742903146295,1.1830738048206149,0.9999999999999996,0.5136463430064442,0.014297974827942072,0.4207931164746738,1.2066637731777659,0.9999999999999993,0.4482839562678942,0.0158809392577446,0.46738017119401926,1.195682816019098,0.9999999999999998,0.49431621836388084,0.013671793274435354,0.40236443055587445,1.2204208894484738,1.0000000000000002,0.4342811381030996,0.12813936447701005,0.09298396855592728
