year,era,res_va,n_set,res_vai,gdp_gap,comp_share_of_va,scale,lam,lami,recon_err,hist_comp_dev,lam_spliced
1947,sq85,0.994165608588701,16,0.9913186565603939,0.07144081308890451,1.0,0.001,,,,,
1958,sq85,0.9656051834116599,16,0.9653140594009927,0.07707649164950568,1.0,0.001,,,,,
1963,sq85,0.9548651911315538,16,0.955256916847225,0.07904033094308424,1.0,0.001,,,,,
1967,sq85,0.9344261452744258,16,0.9347230968924024,0.07840848041415976,0.5884809407845759,1.0,0.6424554476304994,0.6419736154212174,,,0.5913341856401003
1972,mu85,0.988441363496402,16,0.9883613569606318,0.07532119989680332,0.6067667321149519,1.0,0.7008588340855556,0.6999863411483666,,,0.6450903162720374
1977,mu85,0.9882132777771129,16,0.9881041483449786,0.0505627271443435,0.5896876963003258,1.0,0.6578949801676173,0.6566128665238659,,,0.6055451685700036
1982,2dig,0.982755688679354,16,0.983078287381298,0.04072981279620212,0.5975501100184932,0.1,0.7399910572112064,0.7371951458989005,,,0.6811087224971524
1987,2dig,0.9821305755241213,15,0.9829190839939813,0.05816129666760392,0.5901503782319104,1.0,0.606807317216145,0.6129607019004166,0.18564623342427702,0.00921666768853819,0.5585226370013405
1992,2dig,0.9719528791918532,15,0.9760008626588013,0.04392755148629816,0.584712471556753,1.0,0.631947896557139,0.6312706612576968,0.25267498213856243,0.007128165610748061,0.581662738102448
