year,recon_err,lam_narrow_tot,res_nw_narrow_tot,lam_narrow_dom,res_nw_narrow_dom,lam_narrow_domp,direct_narrow,lam_medium_tot,res_nw_medium_tot,lam_medium_dom,res_nw_medium_dom,lam_medium_domp,direct_medium,lam_broad_tot,res_nw_broad_tot,lam_broad_dom,res_nw_broad_dom,lam_broad_domp,direct_broad
1997,5.41400988645635e-05,0.581662738102448,0.4183372453594991,0.49655784388263097,0.3528457222000542,0.3851978402247528,0.2255962845129168,0.5998490187603128,0.40015097842331926,0.5308451174118288,0.34685859086556475,0.44276683532833344,0.2847142145420705,0.5758204938335785,0.42417950551802075,0.5125780258471668,0.3752395787363707,0.4329619708590087,0.2679297998033828
1998,8.809269631856326e-05,0.608979896536047,0.39102014234448745,0.5159868656390715,0.32705205645052104,0.392597801006444,0.2375390377558026,0.62760034566514,0.3723997072886671,0.553114490857101,0.3209550171115365,0.4576633586978203,0.3010967359309558,0.6034987528081088,0.3965012860491366,0.5349183089117813,0.3490594966464497,0.44822714958621424,0.2805306863756895
1999,0.00010793741530570888,0.634485158894855,0.36551482427580034,0.5336049473511235,0.3007906163060498,0.39832310876129984,0.2457041382313629,0.6434075024389978,0.35659249886164446,0.5647846907683297,0.30573246482811317,0.4631077281780207,0.31589551204711547,0.6148777476596876,0.38512225194360855,0.5429385748459885,0.3384388190982711,0.4513012794075257,0.2925611616491556
2000,0.00010716972365920618,0.6229764785795385,0.37702358094257915,0.5180572816886447,0.30699700733015206,0.3804213304699877,0.23663699454392303,0.6597752000342652,0.3402248471259648,0.5759052638481064,0.28368695761073986,0.4715999494969527,0.3185802135400088,0.6321412368208272,0.3678588047307311,0.5549105830900493,0.31560378674857054,0.46040872445550474,0.29341171566936813
2001,0.00013072544931844177,0.667983600898515,0.3320162970773525,0.5610128156332658,0.2692263775946626,0.40788744880412325,0.25929889685772,0.6904905610018868,0.3095093540511442,0.6074581303332655,0.26006766477761356,0.4947922590935917,0.3432499715991234,0.6572189357896413,0.34278098099917714,0.5812093761818086,0.29732221222888955,0.47940708158027623,0.3134807858779453
2002,0.00010979455445528363,0.6232006512241961,0.37679929672812573,0.5244168973192469,0.3105790171339118,0.3698169559776714,0.26069987582895643,0.6331548796711872,0.3668450423520953,0.5582160893977801,0.3160944486044612,0.4467967619821613,0.32265640204888324,0.6026412931600479,0.39735861480062884,0.5342675139192234,0.3509010425617394,0.4339559245083586,0.29544851331009536
2003,0.0001200929439488796,0.5982384101791263,0.40176167744973645,0.5084894024115696,0.3350436481701894,0.3534481565620132,0.26652956170382847,0.6098323863878921,0.39016767467097424,0.5417774164915652,0.33918208486036944,0.42938924478341167,0.32935147282845145,0.5844337986509727,0.41556622351083544,0.5219573901887034,0.36856563625720284,0.42055715631509594,0.2988096005216881
2004,7.877289572222335e-05,0.5849439900179316,0.4150558775788066,0.48811974052630297,0.33661657056933125,0.32553903555737423,0.2645082729741236,0.5960787358651161,0.4039211260562108,0.5230942515890001,0.3444204959043962,0.40496845486218247,0.32949116886579877,0.5746747943796185,0.4253250860158273,0.5075512683967657,0.37033927364663366,0.4010535985287787,0.2989702320150775
2005,7.965671240725558e-05,0.5698256861900216,0.4301744350615817,0.4732624361620421,0.34588614265378026,0.3118355159235893,0.2560812598498346,0.5819289175549893,0.41807116250766113,0.5091210080999572,0.3540116833055289,0.39062262236657047,0.3233510523767979,0.5619119362711994,0.4380881137147249,0.494939337170379,0.37876079206127977,0.38819543784684024,0.29219793800785077
2006,7.260997891726795e-05,0.5606770634879779,0.43932289268951996,0.46408940377884206,0.35274854141243,0.30200727059723237,0.25199684165194675,0.5815723793281886,0.4184276264359947,0.5077558096525611,0.3517653428672451,0.3874959935524085,0.32327599975528976,0.5588384392447531,0.441161565713217,0.491053956221429,0.3795830688930165,0.38264268697391013,0.29163566992618795
