release,year,ident_err,n_dropped,dropped_flow,lam_narrow13_world_comp_row0,lam_narrow13_world_comp_rowm,lam_narrow13_world_lab_row0,lam_narrow13_world_lab_rowm,hours_narrow13_world_h_row0,hours_narrow13_world_h_rowm,lam_narrow13_uspurch_comp_row0,lamUS_narrow13_comp_row0,lam_narrow13_uspurch_comp_rowm,lamUS_narrow13_comp_rowm,lam_narrow13_uspurch_lab_row0,lamUS_narrow13_lab_row0,lam_narrow13_uspurch_lab_rowm,lamUS_narrow13_lab_rowm,hours_narrow13_uspurch_h_row0,hours_narrow13_uspurch_h_rowm,go_item,inv_cat,map_dev,wbar,cover_share,lam_narrow_world_comp_row0,lam_narrow_world_comp_rowm,lam_narrow_world_lab_row0,lam_narrow_world_lab_rowm,hours_narrow_world_h_row0,hours_narrow_world_h_rowm,lam_narrow_uspurch_comp_row0,lamUS_narrow_comp_row0,lam_narrow_uspurch_comp_rowm,lamUS_narrow_comp_rowm,lam_narrow_uspurch_lab_row0,lamUS_narrow_lab_row0,lam_narrow_uspurch_lab_rowm,lamUS_narrow_lab_rowm,hours_narrow_uspurch_h_row0,hours_narrow_uspurch_h_rowm,lam_medium_world_comp_row0,lam_medium_world_comp_rowm,lam_medium_world_lab_row0,lam_medium_world_lab_rowm,hours_medium_world_h_row0,hours_medium_world_h_rowm,lam_medium_uspurch_comp_row0,lamUS_medium_comp_row0,lam_medium_uspurch_comp_rowm,lamUS_medium_comp_rowm,lam_medium_uspurch_lab_row0,lamUS_medium_lab_row0,lam_medium_uspurch_lab_rowm,lamUS_medium_lab_rowm,hours_medium_uspurch_h_row0,hours_medium_uspurch_h_rowm,hrel_narrow13_world_h_row0,hrel_narrow13_world_h_rowm,hrel_narrow13_uspurch_h_row0,hrel_narrow13_uspurch_h_rowm,hrel_narrow_world_h_row0,hrel_narrow_world_h_rowm,hrel_narrow_uspurch_h_row0,hrel_narrow_uspurch_h_rowm,hrel_medium_world_h_row0,hrel_medium_world_h_rowm,hrel_medium_uspurch_h_row0,hrel_medium_uspurch_h_rowm,thin_labor_excluded
wiod13,1995,2.1094237467877974e-15,18,0.1986717858208067,0.5192299073253474,0.5800446856869266,0.567855927541437,0.6380881100574206,0.08258572518102295,0.09813700754198641,0.5317013596235084,0.3429145736700741,0.5852214881152012,0.3429145736700741,0.5663285665704071,0.3578481586890666,0.6281364944092457,0.3578481586890666,0.06167017630586403,0.0753561035194898,69.0,42,1.915979543917109e-08,3.9105957277346826,0.8912097574688584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3229593840647789,0.38377416242635837,0.24116712799035653,0.2946872564820493,,,,,,,,,False
wiod13,1996,1.9984014443252818e-15,18,0.0,0.5071758805652389,0.5706332220071918,0.5558204882273755,0.6291352856624215,0.08205772964766024,0.09840393761668871,0.5234736771403385,0.3461471394259707,0.5796217071148606,0.3461471394259707,0.5571882055469817,0.3609738285432861,0.6220582639266653,0.3609738285432861,0.057815331087800306,0.07227870686370395,69.0,42,2.613915339877536e-09,3.882083328573009,0.88640554292036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31855494424573294,0.38201228568768564,0.22444393295187837,0.28059196292640065,,,,,,,,,False
wiod13,1997,2.220446049250313e-15,18,0.0,0.4983892942533486,0.56021120118156,0.5456055434070428,0.6167239631472656,0.0863889125614897,0.10261000398701532,0.5281863815450706,0.34217214587804573,0.5676962888031563,0.34217214587804573,0.5626933720481192,0.3568946539478193,0.6081446094475201,0.3568946539478193,0.06019143543114438,0.07055821073284549,69.0,42,3.388174612149729e-08,3.811205134503342,0.8843824872392264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3292458671185098,0.39106777404672116,0.22940190776830383,0.26891181502638956,,,,,,,,,False
wiod13,1998,2.4424906541753444e-15,18,0.0,0.5046571761869282,0.5639122459125411,0.5505913856010073,0.6183311127947226,0.08706396480456387,0.10257402386720227,0.5285459027417984,0.3488642120641429,0.5702222036839254,0.3488642120641429,0.5615014396610348,0.36330367806126185,0.6091453167054078,0.36330367806126185,0.06195286836181032,0.07286167147550028,69.0,42,1.7237336365505952e-08,3.8204283740189173,0.888255390868916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3326216414939402,0.3918767112195532,0.23668649614131904,0.2783627970834461,,,,,,,,,False
wiod13,1999,2.4424906541753444e-15,18,2.888603278741357,0.5106242548495731,0.568062695862647,0.5564316493490807,0.6219571264281222,0.08517629037075208,0.09974824142568145,0.5317893635813902,0.3489003830357919,0.5803185220772438,0.3489003830357919,0.5646483894144901,0.3628705740109608,0.6200102029769688,0.3628705740109608,0.05984118164920647,0.07215287587115665,69.0,42,2.2034489254288106e-08,3.941712458171044,0.8913747771794936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33574044489518784,0.3931788859082616,0.2358767312183536,0.2844058897142071,,,,,,,,,False
wiod13,2000,2.220446049250313e-15,18,0.0,0.503368714038146,0.5599694568672013,0.546907328130982,0.6111125293492294,0.08227073786525428,0.09651380916668072,0.5277655457804322,0.3401689650811577,0.5810548746994199,0.3401689650811577,0.5602876616851465,0.35363591845546316,0.6207365518412771,0.35363591845546316,0.05841152682082831,0.07182131039364531,69.0,42,1.991275533372856e-08,3.973914167191374,0.8915051776360752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3269368507480218,0.3835375935770772,0.23212239396056855,0.2854117228795562,,,,,,,,,False
wiod13,2001,3.1086244689504383e-15,18,0.0,0.5195454727862726,0.5804130684559298,0.5643150098686899,0.6331723218327234,0.08773833591243868,0.10355931126399323,0.5486048226373462,0.3644033449256071,0.6031113430709898,0.3644033449256071,0.5821950531157716,0.3794025565971962,0.6438563104774508,0.3794025565971962,0.06086631206867538,0.07503388854006807,69.0,42,2.418797277081389e-09,3.847272011815402,0.8906081785418081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33755324411918347,0.39842083978884063,0.2341692588842368,0.2886757793178803,,,,,,,,,False
wiod13,2002,2.220446049250313e-15,18,0.0,0.5123766171408901,0.5730885384921733,0.5573714127612338,0.6261159130449854,0.09090845874296488,0.10632629030546886,0.535898423390229,0.3428202277300401,0.5936760522852421,0.3428202277300401,0.5682001649422602,0.35587302161035644,0.6336221469445438,0.35587302161035644,0.06513307894197075,0.07980574504373865,69.0,42,5.8781939803419795e-09,3.937773032813139,0.8949059405779322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35797687729265293,0.4186887986439364,0.25647928180178176,0.31425691069679484,,,,,,,,,False
wiod13,2003,2.220446049250313e-15,18,0.0,0.5011979194329577,0.5607037862444544,0.5471503143293942,0.6148347220533679,0.0872928812127103,0.10125328516418478,0.5244370124653552,0.3211807539969431,0.5805145768686858,0.3211807539969431,0.5573697239165868,0.3341345873949376,0.6211546402050278,0.3341345873949376,0.0688646127827939,0.08202071811548808,69.0,42,1.666544528811797e-08,4.262474568668322,0.8949832693546232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3720836861949624,0.4315895530064591,0.29353366066785047,0.34961122507118114,,,,,,,,,False
wiod13,2004,1.887379141862766e-15,18,0.5723826184349585,0.4834983026700454,0.5418504032394593,0.5278156976834155,0.5941992262318633,0.08525012449488034,0.09792757370201481,0.516774493246106,0.3146856889677099,0.570214653240104,0.3146856889677099,0.5485254980559336,0.3264788034210744,0.6093210195877616,0.3264788034210744,0.06570593315178594,0.07731622493792542,69.0,42,5.806943340265104e-09,4.602826610938038,0.8917352254095934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3923915416108159,0.4507436421802298,0.30243301760755614,0.3558731776015543,,,,,,,,,False
