release,year,H_within_tornqvist,H_within_laspeyres,H_raw,vintage
icio25,1995,1.0,1.0,1.0,sea13
icio25,1996,1.000127239896839,1.002239264671948,0.8660200734793579,sea13
icio25,1997,1.0300008720282077,1.0300912003533191,0.9541316051502066,sea13
icio25,1998,1.0489744727083319,1.0461161595200539,0.9134427054130356,sea13
icio25,1999,1.0135656509374495,1.0098848351725636,0.8708688585772252,sea13
icio25,2000,0.510538034072838,0.5024028918897551,0.2249183350265189,sea16
icio25,2001,0.5344544062963662,0.5289980160696457,0.2426106710100354,sea16
icio25,2002,0.4936379009227468,0.49479743267489507,0.23523713771297083,sea16
icio25,2003,0.4210654029583338,0.42955609058597255,0.21087631913609864,sea16
icio25,2004,0.3719566886035541,0.38258070786048476,0.18998940239817522,sea16
icio25,2005,0.3420811736546513,0.34926805258068244,0.17504397208532574,sea16
icio25,2011,0.20988113130346195,0.21513906835750973,0.11047375234395229,sea16
icio25,2012,0.20780650636957912,0.21191560232105794,0.11180679520754654,sea16
icio25,2013,0.20537526661923358,0.20883994879672227,0.1158524233906632,sea16
icio25,2014,0.19988741509267285,0.20265127921019896,0.1116051318609112,sea16
icio25,2015,0.2077026392885995,0.2104838487663918,0.11722924731563243,frozen2014
icio25,2016,0.21014896838632902,0.21374288994501162,0.11989370143110949,frozen2014
icio25,2017,0.19673534726355477,0.20019981847841625,0.11655482812446041,frozen2014
icio25,2018,0.17934040530034662,0.18268419051596121,0.10530834563732186,frozen2014
icio25,2019,0.17964493085917768,0.18365090433710402,0.10555001739177378,frozen2014
icio25,2020,0.17895830392856782,0.1804119303857444,0.1060610702099913,frozen2014
icio25,2021,0.1543384280000475,0.15810905783163912,0.09204345364707595,frozen2014
icio25,2022,0.15054263997123396,0.15487707914917653,0.09081076913067143,frozen2014
wiod13,1995,1.0,1.0,1.0,
wiod13,1996,0.9979487112971951,0.9975382724875469,0.9936066973777203,
wiod13,1997,1.0201481677687705,1.0191670529329167,1.0460513892943413,
wiod13,1998,1.0381529987226885,1.0355086292011189,1.0542253472222338,
wiod13,1999,1.000152192671644,0.9978028298958097,1.031368195702717,
wiod13,2000,0.965471188715034,0.9631082831471455,0.9961859350986118,
wiod13,2001,1.0158233665809133,1.0169191165428655,1.0623910575359305,
wiod13,2002,0.9518068419153094,0.9605993703068039,1.1007769023484266,
wiod13,2003,0.8326671179710434,0.8410773696305778,1.056997211338516,
wiod13,2004,0.731628204651682,0.7385006540013608,1.0322622258025484,
wiod13,2005,0.6750496873284246,0.6777066654587609,1.0310760490742792,
wiod13,2006,0.6278372654982647,0.6297946425593869,0.9911270367923692,
wiod13,2007,0.5631784925650225,0.565538186521404,0.8970167615548946,
wiod13,2008,0.5118234070522728,0.5126259036164416,0.8230939177187718,
wiod13,2009,0.5199196600989048,0.507932814789459,0.917325987073775,
wiod16,2000,1.0,1.0,1.0,
wiod16,2001,1.0612086278454662,1.0611872866289394,1.0520729086494867,
wiod16,2002,0.9897695087233211,0.9899922616864589,1.0344644426068348,
wiod16,2003,0.8458514764059211,0.8472441530971284,0.9355498530825908,
wiod16,2004,0.7232923599969101,0.7260565587616782,0.8176799616476521,
wiod16,2005,0.6570811019818046,0.6584006728330266,0.7640469415927451,
wiod16,2006,0.6135044763723235,0.6165240154585669,0.7123668921243703,
wiod16,2007,0.5564272340289456,0.5603455675685177,0.6415795271634462,
wiod16,2008,0.49457708561232894,0.49681237986151433,0.5681563925297907,
wiod16,2009,0.5027884952351257,0.5041697384049393,0.6044441197662062,
wiod16,2010,0.44123666993300553,0.4449958956116157,0.542069438759718,
wiod16,2011,0.40297212188097836,0.40600518183159484,0.4861459271984048,
wiod16,2012,0.39796604931987073,0.4012933755632352,0.48686884629068955,
wiod16,2013,0.3852564244238523,0.38737310324712043,0.48740661315441747,
wiod16,2014,0.3765552022336732,0.37841707074586844,0.48540687241272495,
