year,lamC_min,lamC_med,lamC_max,lamC_IR_min,lamC_IR_med,lamC_IR_max,lamR_min,lamR_med,lamR_max
1960,0.7402198606891415,0.8067850172500355,0.9415263162176505,0.6873398471995376,0.7542886801336552,0.900742798478169,0.5905836765457912,0.6488622569584452,0.7132815979240381
1961,0.7304783998984986,0.7999806448476318,0.9496630493838661,0.6752452827235222,0.7452185215839386,0.8976001171388829,0.584156943246146,0.6446332406928532,0.7103047015164222
1962,0.7299908727028895,0.799741085068751,0.9479448348200833,0.6731821972878145,0.7435480166654587,0.8967307209624968,0.5878029489428706,0.6467513136074773,0.711763304251973
1963,0.7287086324944534,0.7985164920411553,0.9423540047069799,0.670776410281411,0.7416366858233954,0.8963550460036384,0.5882511018977704,0.6465749083407601,0.7102530777596978
1964,0.7256084025931356,0.795689064221436,0.9494199054046294,0.6667876005441397,0.7391241056974811,0.8980449648346939,0.5816625212327201,0.6416964106464472,0.7066990343533059
1965,0.7253546334480508,0.7948473949732747,0.9475715498662816,0.6656909442817212,0.7382594831106557,0.8993753569630655,0.5785665472929875,0.6387257867092779,0.7041261876253345
1966,0.7311245974359225,0.802334742314003,0.9530211666419268,0.6712322327373851,0.7438823653715785,0.9013666889620957,0.5980881886435817,0.6553796870616704,0.717970212366624
1967,0.7281299126729459,0.7995875308740912,0.9653957260892748,0.6661283321432917,0.7420398094075531,0.900492416392828,0.6056263832048625,0.6624998935669231,0.7242353732945175
1968,0.7349058293796101,0.8043944231424207,0.9573048459439623,0.6712987901233702,0.7445379171998332,0.9029436906036075,0.6082188623516495,0.6636413078527877,0.7247222917702084
1969,0.7370496803489502,0.805185573925591,0.9547637392997413,0.6703275046036722,0.7433473374880759,0.9023373241291567,0.6207228085021621,0.6746987293625488,0.7322930699453158
1970,0.7240727777361131,0.7945380224501581,0.9657417005597122,0.6550825763403219,0.734102508601046,0.901348952567092,0.6187495027148007,0.6709504878856647,0.7311572531937892
1971,0.7163584295091251,0.7898160719896848,0.9685220784365121,0.6455366633405679,0.7283513010655704,0.8999838556898693,0.6113045411865208,0.6651312564702574,0.7270368950963828
1972,0.7209549616836641,0.7920625542272308,0.9601004035174202,0.6485866187922946,0.7296429278369937,0.9002047769129327,0.6209413514139909,0.6736890624119178,0.7327730599401038
1973,0.7123896688844377,0.7900171439694101,0.9709390012258106,0.6388313901383966,0.7269266572815585,0.901172939410882,0.6271236464479665,0.6814059958670002,0.7416848723032639
1974,0.708718432528448,0.7856862867818302,0.9604724411951256,0.6320056910116988,0.7210895329572017,0.9002506017775417,0.6336628409708006,0.6855354747620982,0.7442955618225391
1975,0.7027405630577463,0.777509246802678,0.9509982978727217,0.6239731558945991,0.712774284312593,0.9011233839892794,0.6289712884712628,0.6794853389058846,0.7390727609812368
1976,0.7127680102120946,0.7818836654037666,0.9353388012743632,0.6315402241439168,0.7154703468299388,0.902529133040449,0.6303404471028883,0.6804511841801011,0.7364986083840236
1977,0.7160566869292754,0.7841087747338782,0.9286838278002111,0.6293241212203368,0.7138482225716034,0.9021103239859495,0.6321922257351462,0.6817974804995153,0.7367981201482927
1978,0.7166555694583052,0.7859794696889426,0.9321930446698505,0.6273205632886255,0.7136257055496945,0.9003256806810608,0.6422583575971387,0.6924144697677032,0.7479873066201969
1979,0.7185039058813554,0.7866901259689949,0.92759388134717,0.6260243438418761,0.7116270038092006,0.8986256007871731,0.6565709796260792,0.7050896599090006,0.7588034069639898
1980,0.7034607009850532,0.7723883898847357,0.9207862633461678,0.6086870068320474,0.697834569230323,0.8957785803925019,0.6575731742997086,0.7055639930863493,0.75913740890627
1981,0.6849536074245085,0.7576441265042324,0.9131144693570955,0.5895270147091359,0.6839208681435105,0.8938794209367249,0.6596450914641089,0.7069950305986291,0.7609214792840072
1982,0.671503618225867,0.7450159039904247,0.9033498373672785,0.5740075111573665,0.6711318802784588,0.8925603595113303,0.6600982965330149,0.7064212906388496,0.7559040631930947
1983,0.6736384799370891,0.7413010875237762,0.8809830635144646,0.5777020241226682,0.6692140372845061,0.88167875404089,0.6541139139020483,0.6984029692572957,0.7480306636223993
1984,0.6633237623574997,0.7381128534833123,0.8899491267587509,0.5668660279136783,0.6659981057768534,0.8903626071758195,0.6504087985031917,0.6969716318095244,0.7496223873047018
1985,0.672093593437886,0.739490464943602,0.8738313314242245,0.5754897574875119,0.6671095440241026,0.8740494335048914,0.6559109974170739,0.7002994797423842,0.7487647105635242
1986,0.6758638918461292,0.7421765306986233,0.8745428907486812,0.5738606926497517,0.666111550219349,0.8750521028533434,0.6562288876489011,0.6999775193409986,0.74803098595769
1987,0.6892707439352738,0.7546552451479211,0.8736340260380224,0.5852469171532254,0.6729205443418227,0.8740791644024652,0.6564775986082204,0.6993398730286243,0.7473995885133022
1988,0.6825711187278042,0.7509179706570179,0.8793253197850394,0.5795099931626962,0.6710951715636313,0.8795276864360506,0.6562754657046335,0.6997414033510998,0.7491406726672877
