,real_wage_durables,real_wage_shelter
1964,100.0,100.0
1965,104.11562014952182,101.82486368522383
1966,108.1807061651895,102.74988439737986
1967,111.19585623826632,103.7766343652631
1968,114.28405681799347,104.93736098967891
1969,117.17133350552271,103.2203790070252
1970,118.6494931078325,100.14010591880997
1971,121.29150714592122,102.3862532676996
1972,127.76775463342628,105.40450928381964
1973,132.3080480007825,106.95897717744378
1974,132.3702432248473,104.46438059396716
1975,126.8730368509184,101.53922775380263
1976,127.67623379449279,102.76019646767946
1977,129.78112253691043,103.47285199917394
1978,131.68573003357156,101.56512704516733
1979,129.2499499978298,96.19542681898405
1980,126.79315301499751,88.3682146974439
1981,127.49286729966518,85.90657590040846
1982,127.09364255376526,84.87995939803167
1983,126.17679696272224,86.42456074495286
1984,124.0813670459429,85.34755267328684
1985,125.70402623361922,83.15384146196592
1986,128.6594911831744,80.55346031775778
1987,129.82581834749467,78.77986998224237
1988,131.35271171511263,77.59307832422586
1989,134.31008895010677,77.13206039743054
1990,138.13840093659022,76.13328269970252
1991,139.2753782155443,75.11067167930557
1992,139.5669510740552,74.43809158552747
1993,139.97551323797782,74.12940434853778
1994,139.55117832811425,73.78672490205561
1995,139.81451090976333,73.45841085395888
1996,142.98861230411936,73.55938397621462
1997,149.22256914876846,74.10840216796257
1998,156.6809311561815,74.62972735792168
1999,164.4946013811404,75.26399725896492
2000,171.6627850790777,75.7168133126729
2001,179.20912520250067,75.75155114223982
2002,189.30103118823604,75.13211514566987
2003,200.85509253430695,75.31615448240757
2004,209.96751262172742,74.89273271817143
2005,214.87291885258105,75.0451530699876
2006,224.70664429332626,75.35770158806766
2007,237.81796197288605,75.60831193162683
2008,250.35335553891593,76.53870700658135
2009,260.2215818764946,77.9757320628907
2010,262.95443326422514,80.15373680870746
2011,265.3359581743203,80.7205012946975
2012,268.68243524706156,80.17903886460772
2013,276.4365743359486,79.98161505087596
2014,286.73244870860646,79.56616624688081
2015,296.02492527000436,78.8113054020597
2016,308.470033209195,78.09379228608972
2017,321.72205098515553,77.35194777029758
2018,334.0535036784417,77.10938841397261
2019,344.691211730253,77.23504706966015
2020,358.7440048275648,79.15240136274463
2021,340.50458384694406,80.92702256085857
2022,330.67048991397826,81.31947692932717
2023,351.44909806570513,79.39268508480585
2024,376.75009350335785,78.58423316165857
