source,role,url
BEA PCE Bridge 1997-2016 Summary,"NIPA PCE category → I-O commodity composition; producer value, transport, wholesale, retail, purchaser value",https://apps.bea.gov/industry/xls/io-annual/PCEBridge_1997-2016_Summary.xlsx
BEA Industry Underlying Estimates,Documentation / official landing page,https://www.bea.gov/node/22626
