source,role,url
BEA WP2026-01 Samuels & Senel,Full upstream consumption factor benchmark and methodology,https://www.bea.gov/sites/default/files/papers/bea-wp2026-01.pdf
BEA-BLS expanded capital detail 1997-2024,Current asset detail within IT and Other capital,https://www.bea.gov/sites/default/files/2026-04/BEA-BLS-industry-level-production-account-Expanded-Capital-Detail-1997-2024.xlsx
BEA-BLS production account 1997-2024,Current KLEMS cost structure,https://www.bea.gov/sites/default/files/2026-04/BEA-BLS-industry-level-production-account-1997-2024.xlsx
