source,role,url
"BEA-BLS Integrated Industry-Level Production Account, 1997-2024",Current KLEMS gross output and nominal labor/capital/energy/materials/service input costs by industry,https://www.bea.gov/sites/default/files/2026-04/BEA-BLS-industry-level-production-account-1997-2024.xlsx
BEA PCE Bridge 1997-2016,PCE purchaser/producer/margin and I-O commodity mapping calibration,https://apps.bea.gov/industry/xls/io-annual/PCEBridge_1997-2016_Summary.xlsx
