year,archived_upper,rebuilt_upper,rebuilt_minus_archived_pp
1958,0.9438691307758392,0.9450021189587843,0.11329881829450494
1959,0.9439164501121377,0.9468101554032932,0.2893705291155513
1960,0.928239299268862,0.9419428827348318,1.3703583465969893
1961,0.9330283315973756,0.9521447164685434,1.9116384871167735
1962,0.9318858704703483,0.9486385491576652,1.675267868731689
1963,0.9284684351984013,0.9423804191906423,1.3911983992241028
1964,0.9319173653732005,0.9500828981897174,1.8165532816516894
1965,0.9319423484646651,0.9477121037360848,1.5769755271419772
1966,0.9327538545017264,0.9494015967689707,1.6647742267244303
1967,0.9347997106403811,0.9632913499933279,2.849163935294674
1968,0.9336840448027126,0.9556322822702946,2.194823746758201
1969,0.9321978880127888,0.9516040594736753,1.9406171460886523
1970,0.9402536890943866,0.9663181218324286,2.6064432738042043
1971,0.9391584204453933,0.9719347924701943,3.2776372024800993
1972,0.9357393890595582,0.9611336350527704,2.539424599321216
1973,0.9388362283811627,0.9709220097614275,3.2085781380264855
1974,0.9397896339293331,0.9629764647116736,2.3186830782340517
1975,0.941187805303171,0.9628888994963203,2.170109419314925
1976,0.9323906391163471,0.9445431817338759,1.2152542617528739
1977,0.9251582044576552,0.9340343821147906,0.8876177657135442
1978,0.9251930229931815,0.9339136586761071,0.8720635682925582
1979,0.9240439609875089,0.9282406154769944,0.4196654489485585
