year,wage_salary_employed_m,uninc_self_employed_m,wage_salary_avg_weekly_hours,uninc_self_emp_avg_weekly_hours,bea_nonfarm_proprietors_income_b,employee_wage_bill_b,employee_comp_bill_b,hours_ratio_self_to_employee,wage_only_per_employee_thousand,imputed_owner_labor_wage_only_b,proprietor_effort_share_wage_only,total_comp_per_employee_thousand,imputed_owner_labor_total_comp_b,proprietor_effort_share_total_comp,effort_share_mid,effort_share_min,effort_share_max,non_effort_residual_mid
2005,129.931,9.509,39.1,38.4,931.226,5691.379,7066.107,0.9820971867007672,43.80308779275153,409.06661825925664,0.4392774882351402,54.38353433745603,507.8748919634523,0.5453830670142933,0.4923302776247167,0.4392774882351402,0.5453830670142933,0.5076697223752833
2010,127.914,8.86,38.3,35.6,1069.807,6372.51,7925.369000000001,0.9295039164490863,49.81870631830761,410.2772081487027,0.38350581754344726,61.95857372922433,510.2539292787734,0.47695886199919557,0.4302323397713214,0.38350581754344726,0.47695886199919557,0.5697676602286785
2015,137.678,8.665,38.7,36.1,1292.263,7859.483,9699.42,0.9328165374677002,57.08597597292233,461.4176832861479,0.35706174616633607,70.45003559029038,569.4374433559216,0.4406513560752893,0.3988565511208127,0.35706174616633607,0.4406513560752893,0.6011434488791874
2020,136.881,8.511,38.4,34.3,1548.45,9465.343,11598.139,0.8932291666666666,69.15015962770582,525.6984217365928,0.3394997718599843,84.73154784082524,644.1523954685662,0.4159981888136951,0.3777489803368397,0.3394997718599843,0.4159981888136951,0.6222510196631603
2025,152.074,9.156,38.5,34.7,2033.571,12958.655999999999,15726.91,0.9012987012987014,85.21283059563106,703.20106726223,0.34579617198624,103.41616581401159,853.4202850000061,0.4196658415172158,0.3827310067517279,0.34579617198624,0.4196658415172158,0.6172689932482721
