Year,decile,dpi_share,pce_share,dpi_total_b,pce_total_b,dpi_amount_b,pce_amount_b,forced_intertemporal_amount_b,forced_intertemporal_share_group_pce,forced_intertemporal_pp_total_pce
2000,0-10%,0.02,0.054,7384.97,6767.19,147.6994,365.42825999999997,217.72885999999997,0.595818342018759,0.032174190469012987
2000,10-20%,0.038,0.063,7384.97,6767.19,280.62886,426.33297,145.70411000000001,0.3417612998591219,0.02153096189112468
2000,20-30%,0.049,0.071,7384.97,6767.19,361.86353,480.4704899999999,118.6069599999999,0.24685586829692688,0.017526766649081805
2000,30-40%,0.058,0.08,7384.97,6767.19,428.32826000000006,541.3752,113.04693999999989,0.20881440450172062,0.01670515236013765
2000,40-50%,0.069,0.089,7384.97,6767.19,509.56293000000005,602.27991,92.71697999999992,0.15394333840555952,0.013700957118094796
2000,50-60%,0.081,0.097,7384.97,6767.19,598.18257,656.41743,58.23485999999991,0.08871619999487204,0.008605471399502587
2000,60-70%,0.095,0.108,7384.97,6767.19,701.5721500000001,730.8565199999999,29.284369999999853,0.0400685622945525,0.00432740472781167
2000,70-80%,0.113,0.119,7384.97,6767.19,834.50161,805.2956099999999,0.0,0.0,0.0
2000,80-90%,0.143,0.138,7384.97,6767.19,1056.05071,933.87222,0.0,0.0,0.0
2000,90-100%,0.333,0.181,7384.97,6767.19,2459.1950100000004,1224.8613899999998,0.0,0.0,0.0
2001,0-10%,0.018,0.063,7754.1,7073.8,139.5738,445.6494,306.0756,0.6868080603272438,0.04326890780061636
2001,10-20%,0.039,0.065,7754.1,7073.8,302.4099,459.797,157.38710000000003,0.342296926687212,0.02224930023466878
2001,20-30%,0.049,0.073,7754.1,7073.8,379.95090000000005,516.3874,136.4364999999999,0.2642134567961959,0.0192875823461223
2001,30-40%,0.059,0.082,7754.1,7073.8,457.4919,580.0516,122.55970000000002,0.21129102997043714,0.017325864457575845
2001,40-50%,0.07,0.091,7754.1,7073.8,542.787,643.7158,100.92879999999991,0.15679093165027164,0.014267974780174716
2001,50-60%,0.082,0.099,7754.1,7073.8,635.8362000000001,700.3062000000001,64.47000000000003,0.09205973044362598,0.009113913313918972
2001,60-70%,0.096,0.111,7754.1,7073.8,744.3936000000001,785.1918000000001,40.79819999999995,0.051959533963548715,0.0057675082699539075
2001,70-80%,0.114,0.119,7754.1,7073.8,883.9674000000001,841.7822,0.0,0.0,0.0
2001,80-90%,0.144,0.136,7754.1,7073.8,1116.5904,962.0368000000001,0.0,0.0,0.0
2001,90-100%,0.328,0.16,7754.1,7073.8,2543.3448000000003,1131.808,0.0,0.0,0.0
2002,0-10%,0.019,0.054,8097.87,7348.95,153.85953,396.8433,242.98377,0.6122914762577572,0.033063739717918886
2002,10-20%,0.038,0.065,8097.87,7348.95,307.71906,477.68175,169.96269,0.35580737593596573,0.023127479435837775
2002,20-30%,0.049,0.073,8097.87,7348.95,396.79563,536.47335,139.67771999999997,0.2603628306979274,0.019006486640948703
2002,30-40%,0.059,0.083,8097.87,7348.95,477.77432999999996,609.96285,132.18852000000004,0.21671569014408015,0.017987402281958654
2002,40-50%,0.07,0.09,8097.87,7348.95,566.8509,661.4055,94.55459999999994,0.14296010541188414,0.012866409487069573
2002,50-60%,0.083,0.096,8097.87,7348.95,672.12321,705.4992,33.37599,0.04730833146231775,0.004541599820382504
2002,60-70%,0.096,0.102,8097.87,7348.95,777.39552,749.5929,0.0,0.0,0.0
2002,70-80%,0.116,0.115,8097.87,7348.95,939.35292,845.1292500000001,0.0,0.0,0.0
2002,80-90%,0.145,0.138,8097.87,7348.95,1174.1911499999999,1014.1551000000001,0.0,0.0,0.0
2002,90-100%,0.326,0.184,8097.87,7348.95,2639.90562,1352.2068,0.0,0.0,0.0
2003,0-10%,0.018,0.056,8478.22,7740.75,152.60795999999996,433.482,280.87404000000004,0.6479485653383532,0.03628511965894778
2003,10-20%,0.037,0.064,8478.22,7740.75,313.69413999999995,495.408,181.71386000000007,0.36679637793495473,0.023474968187837106
2003,20-30%,0.047,0.072,8478.22,7740.75,398.47634,557.334,158.85765999999995,0.285031345656285,0.02052225688725252
2003,30-40%,0.057,0.082,8478.22,7740.75,483.25854,634.7415,151.48296,0.23865299495936534,0.019569545586667958
2003,40-50%,0.068,0.092,8478.22,7740.75,576.51896,712.149,135.63004,0.19045177343505362,0.017521563156024933
2003,50-60%,0.081,0.102,8478.22,7740.75,686.73582,789.5564999999999,102.82067999999992,0.13022586730651947,0.013283038465264983
2003,60-70%,0.096,0.109,8478.22,7740.75,813.9091199999999,843.74175,29.83263000000011,0.03535753682924912,0.0038539715143881548
2003,70-80%,0.116,0.12,8478.22,7740.75,983.47352,928.89,0.0,0.0,0.0
2003,80-90%,0.147,0.137,8478.22,7740.75,1246.2983399999998,1060.4827500000001,0.0,0.0,0.0
2003,90-100%,0.33,0.167,8478.22,7740.75,2797.8125999999997,1292.70525,0.0,0.0,0.0
2004,0-10%,0.019,0.053,8967.13,8231.96,170.37546999999998,436.29387999999994,265.91841,0.6094937889112725,0.03230317081229744
2004,10-20%,0.038,0.061,8967.13,8231.96,340.75093999999996,502.14955999999995,161.39862,0.3214154364687684,0.01960634162459487
2004,20-30%,0.048,0.068,8967.13,8231.96,430.42224,559.77328,129.35104,0.23107755339804717,0.01571327363106721
2004,30-40%,0.058,0.078,8967.13,8231.96,520.09354,642.0928799999999,121.99933999999996,0.19000263637871204,0.014820205637539538
2004,40-50%,0.068,0.085,8967.13,8231.96,609.7648399999999,699.7166,89.95176000000004,0.12855456051778683,0.010927137644011882
2004,50-60%,0.08,0.093,8967.13,8231.96,717.3703999999999,765.5722799999999,48.20187999999996,0.06296189302987822,0.005855456051778673
2004,60-70%,0.095,0.103,8967.13,8231.96,851.87735,847.8918799999999,0.0,0.0,0.0
2004,70-80%,0.114,0.116,8967.13,8231.96,1022.2528199999999,954.9073599999999,0.0,0.0,0.0
2004,80-90%,0.145,0.139,8967.13,8231.96,1300.2338499999998,1144.24244,0.0,0.0,0.0
2004,90-100%,0.337,0.205,8967.13,8231.96,3021.92281,1687.5517999999997,0.0,0.0,0.0
2005,0-10%,0.018,0.052,9333.65,8769.06,168.0057,455.99111999999997,287.98542,0.6315592724700428,0.032841082168442226
2005,10-20%,0.037,0.061,9333.65,8769.06,345.34504999999996,534.91266,189.56761,0.3543898362771971,0.021617780012909024
2005,20-30%,0.048,0.069,9333.65,8769.06,448.0152,605.06514,157.04994000000005,0.25955873114752576,0.01790955244917928
2005,30-40%,0.057,0.076,9333.65,8769.06,532.01805,666.4485599999999,134.4305099999999,0.20171175701842603,0.015330093533400379
2005,40-50%,0.068,0.085,9333.65,8769.06,634.6882,745.3701,110.68189999999993,0.14849254081965446,0.01262186596967063
2005,50-60%,0.08,0.095,9333.65,8769.06,746.692,833.0607,86.36869999999999,0.1036763587575311,0.009849254081965455
2005,60-70%,0.095,0.104,9333.65,8769.06,886.69675,911.9822399999999,25.28548999999998,0.02772585790705747,0.0028834892223339767
2005,70-80%,0.114,0.116,9333.65,8769.06,1064.0361,1017.21096,0.0,0.0,0.0
2005,80-90%,0.144,0.14,9333.65,8769.06,1344.0456,1227.6684,0.0,0.0,0.0
2005,90-100%,0.339,0.203,9333.65,8769.06,3164.10735,1780.11918,0.0,0.0,0.0
2006,0-10%,0.019,0.053,9945.04,9277.24,188.95576,491.69372,302.73796,0.615704345379884,0.03263233030513386
2006,10-20%,0.039,0.061,9945.04,9277.24,387.85656000000006,565.9116399999999,178.05507999999986,0.31463406548767914,0.019192677994748424
2006,20-30%,0.049,0.069,9945.04,9277.24,487.30696000000006,640.1295600000001,152.82260000000002,0.2387369831819671,0.016472851839555734
2006,30-40%,0.057,0.078,9945.04,9277.24,566.86728,723.62472,156.75743999999997,0.21662808865899436,0.01689699091540156
2006,40-50%,0.067,0.086,9945.04,9277.24,666.3176800000001,797.84264,131.52495999999985,0.1648507530256842,0.01417716476020884
2006,50-60%,0.078,0.096,9945.04,9277.24,775.7131200000001,890.61504,114.9019199999999,0.12901412489059236,0.012385355989496867
2006,60-70%,0.092,0.104,9945.04,9277.24,914.9436800000001,964.83296,49.88927999999987,0.051707686271414144,0.0053775993722270715
2006,70-80%,0.112,0.116,9945.04,9277.24,1113.8444800000002,1076.15984,0.0,0.0,0.0
2006,80-90%,0.141,0.138,9945.04,9277.24,1402.25064,1280.2591200000002,0.0,0.0,0.0
2006,90-100%,0.345,0.196,9945.04,9277.24,3431.0388,1818.33904,0.0,0.0,0.0
2007,0-10%,0.019,0.051,10439.63,9746.59,198.35296999999997,497.07608999999997,298.72312,0.6009605491183453,0.030648988005035606
2007,10-20%,0.039,0.062,10439.63,9746.59,407.14556999999996,604.28858,197.14301000000006,0.32623984057418404,0.02022687011559941
2007,20-30%,0.048,0.068,10439.63,9746.59,501.10224,662.7681200000001,161.66588000000007,0.24392525096107529,0.016586917065353122
2007,30-40%,0.056,0.076,10439.63,9746.59,584.61928,740.74084,156.12156000000004,0.21076407775761363,0.016018069909578637
2007,40-50%,0.066,0.083,10439.63,9746.59,689.01558,808.9669700000001,119.95139000000006,0.14827724054048838,0.012307010964860537
2007,50-60%,0.078,0.091,10439.63,9746.59,814.2911399999999,886.93969,72.64855000000011,0.08190923330987715,0.007453740231198821
2007,60-70%,0.092,0.103,10439.63,9746.59,960.4459599999999,1003.89877,43.45281000000011,0.043284055423237655,0.004458257708593478
2007,70-80%,0.111,0.117,10439.63,9746.59,1158.79893,1140.35103,0.0,0.0,0.0
2007,80-90%,0.139,0.138,10439.63,9746.59,1451.10857,1345.02942,0.0,0.0,0.0
2007,90-100%,0.352,0.211,10439.63,9746.59,3674.7497599999997,2056.53049,0.0,0.0,0.0
2008,0-10%,0.019,0.052,10918.18,10050.08,207.44542,522.60416,315.15873999999997,0.6030544035470364,0.03135882898444589
2008,10-20%,0.038,0.061,10918.18,10050.08,414.89084,613.05488,198.16404,0.32324029457199654,0.01971765796889179
2008,20-30%,0.047,0.068,10918.18,10050.08,513.15446,683.40544,170.25098000000003,0.2491214878242702,0.016940261172050376
2008,30-40%,0.056,0.076,10918.18,10050.08,611.41808,763.80608,152.38799999999992,0.19951137335801244,0.015162864375208945
2008,40-50%,0.066,0.083,10918.18,10050.08,720.5998800000001,834.15664,113.55675999999994,0.13613361634332843,0.011299090156496262
2008,50-60%,0.078,0.093,10918.18,10050.08,851.6180400000001,934.65744,83.03939999999989,0.08884474294667775,0.008262561094041032
2008,60-70%,0.093,0.103,10918.18,10050.08,1015.39074,1035.15824,19.767499999999927,0.019096114232737913,0.001966899765972005
2008,70-80%,0.112,0.115,10918.18,10050.08,1222.83616,1155.7592,0.0,0.0,0.0
2008,80-90%,0.143,0.141,10918.18,10050.08,1561.29974,1417.06128,0.0,0.0,0.0
2008,90-100%,0.347,0.208,10918.18,10050.08,3788.60846,2090.41664,0.0,0.0,0.0
2009,0-10%,0.019,0.049,10913.3,9891.22,207.35269999999997,484.66978,277.31708000000003,0.5721773699197834,0.028036691126069387
2009,10-20%,0.039,0.061,10913.3,9891.22,425.6187,603.36442,177.74572,0.29459098698594127,0.01797005020614242
2009,20-30%,0.049,0.068,10913.3,9891.22,534.7517,672.60296,137.85126000000002,0.20495190803204316,0.013936729746178938
2009,30-40%,0.059,0.075,10913.3,9891.22,643.8847,741.8414999999999,97.95679999999993,0.13204545714953927,0.009903409286215446
2009,40-50%,0.068,0.083,10913.3,9891.22,742.1044,820.97126,78.86685999999997,0.09606531171383512,0.007973420872248315
2009,50-60%,0.079,0.092,10913.3,9891.22,862.1506999999999,909.9922399999999,47.84154000000001,0.05257356919878791,0.004836768366288487
2009,60-70%,0.095,0.105,10913.3,9891.22,1036.7635,1038.5781,1.8145999999999276,0.001747196479494347,0.0001834556303469064
