Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2004,Equivalized Personal Income,Government social benefits,30.0,90-100%,0.060
2004,Equivalized Personal Income,Household current transfer receipts,29.0,0-10%,0.076
2004,Equivalized Personal Income,Household current transfer receipts,29.0,10-20%,0.119
2004,Equivalized Personal Income,Household current transfer receipts,29.0,20-30%,0.134
2004,Equivalized Personal Income,Household current transfer receipts,29.0,30-40%,0.134
2004,Equivalized Personal Income,Household current transfer receipts,29.0,40-50%,0.124
2004,Equivalized Personal Income,Household current transfer receipts,29.0,50-60%,0.102
2004,Equivalized Personal Income,Household current transfer receipts,29.0,60-70%,0.091
2004,Equivalized Personal Income,Household current transfer receipts,29.0,70-80%,0.080
2004,Equivalized Personal Income,Household current transfer receipts,29.0,80-90%,0.076
2004,Equivalized Personal Income,Household current transfer receipts,29.0,90-100%,0.063
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,0-10%,0.017
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,10-20%,0.033
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,20-30%,0.042
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,30-40%,0.052
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,40-50%,0.063
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,50-60%,0.076
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,60-70%,0.092
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,70-80%,0.113
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,80-90%,0.146
2004,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,90-100%,0.366
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,0-10%,0.184
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,10-20%,0.065
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,20-30%,0.067
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,30-40%,0.051
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,40-50%,0.084
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,50-60%,0.076
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,60-70%,0.102
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,70-80%,0.109
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,80-90%,0.158
2004,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,90-100%,0.103
2004,Equivalized Personal Income,Household dividend income,28.0,0-10%,0.004
2004,Equivalized Personal Income,Household dividend income,28.0,10-20%,0.005
2004,Equivalized Personal Income,Household dividend income,28.0,20-30%,0.008
2004,Equivalized Personal Income,Household dividend income,28.0,30-40%,0.014
2004,Equivalized Personal Income,Household dividend income,28.0,40-50%,0.023
2004,Equivalized Personal Income,Household dividend income,28.0,50-60%,0.035
2004,Equivalized Personal Income,Household dividend income,28.0,60-70%,0.049
2004,Equivalized Personal Income,Household dividend income,28.0,70-80%,0.070
2004,Equivalized Personal Income,Household dividend income,28.0,80-90%,0.114
2004,Equivalized Personal Income,Household dividend income,28.0,90-100%,0.679
2004,Equivalized Personal Income,Household income,22.0,0-10%,0.018
2004,Equivalized Personal Income,Household income,22.0,10-20%,0.034
2004,Equivalized Personal Income,Household income,22.0,20-30%,0.042
2004,Equivalized Personal Income,Household income,22.0,30-40%,0.052
2004,Equivalized Personal Income,Household income,22.0,40-50%,0.063
2004,Equivalized Personal Income,Household income,22.0,50-60%,0.076
2004,Equivalized Personal Income,Household income,22.0,60-70%,0.092
2004,Equivalized Personal Income,Household income,22.0,70-80%,0.112
2004,Equivalized Personal Income,Household income,22.0,80-90%,0.146
2004,Equivalized Personal Income,Household income,22.0,90-100%,0.364
2004,Equivalized Personal Income,Household income receipts on assets,26.0,0-10%,0.009
2004,Equivalized Personal Income,Household income receipts on assets,26.0,10-20%,0.011
2004,Equivalized Personal Income,Household income receipts on assets,26.0,20-30%,0.015
2004,Equivalized Personal Income,Household income receipts on assets,26.0,30-40%,0.023
2004,Equivalized Personal Income,Household income receipts on assets,26.0,40-50%,0.036
2004,Equivalized Personal Income,Household income receipts on assets,26.0,50-60%,0.049
2004,Equivalized Personal Income,Household income receipts on assets,26.0,60-70%,0.066
2004,Equivalized Personal Income,Household income receipts on assets,26.0,70-80%,0.086
2004,Equivalized Personal Income,Household income receipts on assets,26.0,80-90%,0.132
2004,Equivalized Personal Income,Household income receipts on assets,26.0,90-100%,0.574
2004,Equivalized Personal Income,Household interest income,27.0,0-10%,0.011
2004,Equivalized Personal Income,Household interest income,27.0,10-20%,0.014
2004,Equivalized Personal Income,Household interest income,27.0,20-30%,0.019
2004,Equivalized Personal Income,Household interest income,27.0,30-40%,0.029
2004,Equivalized Personal Income,Household interest income,27.0,40-50%,0.043
2004,Equivalized Personal Income,Household interest income,27.0,50-60%,0.058
2004,Equivalized Personal Income,Household interest income,27.0,60-70%,0.075
2004,Equivalized Personal Income,Household interest income,27.0,70-80%,0.095
2004,Equivalized Personal Income,Household interest income,27.0,80-90%,0.143
2004,Equivalized Personal Income,Household interest income,27.0,90-100%,0.511
2004,Equivalized Personal Income,Personal income,1.0,0-10%,0.017
2004,Equivalized Personal Income,Personal income,1.0,0-20%,0.050
2004,Equivalized Personal Income,Personal income,1.0,10-20%,0.033
2004,Equivalized Personal Income,Personal income,1.0,20-30%,0.042
2004,Equivalized Personal Income,Personal income,1.0,20-40%,0.095
2004,Equivalized Personal Income,Personal income,1.0,30-40%,0.052
2004,Equivalized Personal Income,Personal income,1.0,40-50%,0.063
2004,Equivalized Personal Income,Personal income,1.0,40-60%,0.139
2004,Equivalized Personal Income,Personal income,1.0,50-60%,0.076
2004,Equivalized Personal Income,Personal income,1.0,60-70%,0.092
2004,Equivalized Personal Income,Personal income,1.0,60-80%,0.205
2004,Equivalized Personal Income,Personal income,1.0,70-80%,0.113
2004,Equivalized Personal Income,Personal income,1.0,80-100%,0.512
2004,Equivalized Personal Income,Personal income,1.0,80-90%,0.146
2004,Equivalized Personal Income,Personal income,1.0,90-100%,0.366
2004,Equivalized Personal Income,Personal income,1.0,Bottom 5%,0.005
2004,Equivalized Personal Income,Personal income,1.0,Equivalized 50/10 Ratio,2.31
2004,Equivalized Personal Income,Personal income,1.0,Equivalized 80/20 Ratio,3.14
2004,Equivalized Personal Income,Personal income,1.0,Equivalized 90/10 Ratio,5.78
2004,Equivalized Personal Income,Personal income,1.0,Equivalized 90/50 Ratio,2.50
2004,Equivalized Personal Income,Personal income,1.0,Equivalized Gini,0.455
2004,Equivalized Personal Income,Personal income,1.0,Mean ($2017),110698.93
2004,Equivalized Personal Income,Personal income,1.0,Mean (Nominal),88367.64
2004,Equivalized Personal Income,Personal income,1.0,Median ($2017),74929.39
2004,Equivalized Personal Income,Personal income,1.0,Median (Nominal),59813.89
2004,Equivalized Personal Income,Personal income,1.0,Top 1%,0.149
2004,Equivalized Personal Income,Personal income,1.0,Top 5%,0.270
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,0-10%,-0.005
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,10-20%,0.003
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,20-30%,0.005
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,30-40%,0.009
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,40-50%,0.017
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,50-60%,0.026
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,60-70%,0.039
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,70-80%,0.056
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,80-90%,0.098
2004,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,90-100%,0.751
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,0-10%,0.022
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,10-20%,0.042
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,20-30%,0.053
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,30-40%,0.057
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,40-50%,0.066
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,50-60%,0.073
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,60-70%,0.082
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,70-80%,0.096
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,80-90%,0.109
2004,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,90-100%,0.400
2004,Equivalized Personal Income,Taxes,12.0,0-10%,0.001
2004,Equivalized Personal Income,Taxes,12.0,10-20%,0.005
2004,Equivalized Personal Income,Taxes,12.0,20-30%,0.009
