Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2005,Equivalized Disposable Personal Income,Personal income,1.0,40-50%,0.063
2005,Equivalized Disposable Personal Income,Personal income,1.0,40-60%,0.138
2005,Equivalized Disposable Personal Income,Personal income,1.0,50-60%,0.076
2005,Equivalized Disposable Personal Income,Personal income,1.0,60-70%,0.091
2005,Equivalized Disposable Personal Income,Personal income,1.0,60-80%,0.202
2005,Equivalized Disposable Personal Income,Personal income,1.0,70-80%,0.111
2005,Equivalized Disposable Personal Income,Personal income,1.0,80-100%,0.515
2005,Equivalized Disposable Personal Income,Personal income,1.0,80-90%,0.145
2005,Equivalized Disposable Personal Income,Personal income,1.0,90-100%,0.370
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,0-10%,-0.004
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,10-20%,0.002
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,20-30%,0.006
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,30-40%,0.010
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,40-50%,0.017
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,50-60%,0.025
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,60-70%,0.037
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,70-80%,0.055
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,80-90%,0.092
2005,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,90-100%,0.759
2005,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,0-10%,0.015
2005,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,10-20%,0.033
2005,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,20-30%,0.046
2005,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,30-40%,0.054
2005,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,40-50%,0.060
